"month","aqi","co","no","no2","o3","so2","pm2_5","pm10","nh3"
"2021-01","1.359","360.945","0.293","8.528","54.058","2.054","7.215","8.151","1.480"
"2021-02","2.717","426.343","0.660","11.275","60.251","2.413","24.304","27.931","3.895"
"2021-03","2.553","347.709","0.729","8.413","80.264","2.564","16.528","18.646","5.181"
"2021-04","2.129","269.030","0.392","4.993","91.064","2.129","9.558","11.079","3.269"
"2021-05","2.000","228.004","0.326","5.366","89.011","2.170","8.394","11.730","1.602"
"2021-06","2.614","206.190","0.305","4.967","101.488","2.472","15.842","31.815","2.290"
"2021-07","2.210","203.899","0.165","4.005","96.310","2.055","11.559","18.643","1.821"
"2021-08","2.081","262.271","0.215","4.045","95.007","2.081","9.294","13.877","2.652"
"2021-09","2.206","304.979","0.312","5.338","93.612","2.607","12.078","14.366","2.544"
"2021-10","1.860","310.018","0.248","4.804","77.143","2.080","8.220","9.653","0.814"
"2021-11","1.358","319.809","0.142","6.074","57.428","2.009","6.836","7.945","0.651"
"2021-12","1.816","411.355","0.225","8.946","52.392","1.609","11.063","11.974","0.739"
"2022-01","2.000","422.313","0.328","9.559","59.460","2.134","13.144","14.477","1.550"
"2022-02","2.327","445.352","0.711","11.535","60.310","2.353","15.791","17.863","4.558"
"2022-03","2.639","359.415","0.365","7.201","90.336","2.842","19.372","21.333","5.196"
"2022-04","2.004","288.382","0.442","5.282","92.446","1.990","7.484","9.202","2.909"
"2022-05","2.591","250.934","0.377","6.049","92.880","2.413","16.835","23.155","1.859"
"2022-06","2.475","211.952","0.322","4.680","98.402","2.235","13.808","20.850","1.563"
"2022-07","2.256","198.601","0.221","4.526","102.615","2.657","11.265","14.543","1.801"
"2022-08","2.027","213.370","0.165","3.903","97.966","2.139","8.389","10.252","1.661"
"2022-09","1.654","215.000","0.156","3.968","82.230","1.372","5.449","7.113","2.089"
"2022-10","2.811","302.710","0.401","8.131","73.347","2.394","23.845","29.038","2.082"
"2022-11","1.604","306.636","0.273","7.050","61.281","1.932","8.607","9.828","1.252"
"2022-12","1.661","432.528","0.666","12.135","38.570","2.261","11.385","12.581","1.162"
"2023-01","1.876","388.358","0.507","9.693","50.428","2.415","10.793","11.839","1.382"
"2023-02","2.405","392.552","0.431","9.095","66.221","2.502","20.133","22.174","4.160"
"2023-03","2.186","340.169","0.530","7.828","78.120","2.204","12.652","14.855","4.597"
"2023-04","2.317","276.718","0.320","5.088","89.245","2.050","8.886","10.276","2.369"
"2023-05","2.259","240.867","0.383","5.058","85.396","2.403","11.425","12.982","1.099"
"2023-06","2.486","231.355","0.256","4.561","97.045","2.213","9.099","11.697","2.099"
"2023-07","2.692","240.781","0.225","4.467","86.796","2.299","15.118","24.805","2.288"
"2023-08","2.542","251.217","0.237","5.148","96.420","2.318","12.263","14.534","2.821"
"2023-09","2.315","266.374","0.244","5.211","87.670","2.214","11.691","15.048","2.355"
"2023-10","2.234","319.040","0.395","7.096","76.074","1.956","13.165","18.312","2.336"
"2023-11","1.701","319.996","0.239","7.138","61.137","1.314","4.800","6.081","1.474"
"2023-12","1.887","419.980","0.441","10.836","50.898","1.732","11.361","13.477","1.495"
"2024-01","2.133","462.465","0.336","11.326","53.689","2.146","18.867","20.304","1.700"
"2024-02","2.647","473.703","0.599","12.471","60.859","2.655","29.634","17.714","5.485"
"2024-03","2.209","350.534","0.438","7.891","74.693","1.993","12.509","15.613","5.193"
"2024-04","2.554","296.122","0.450","6.147","91.777","1.928","14.037","17.821","3.257"
"2024-05","2.363","236.014","0.334","4.980","87.385","2.058","13.829","18.344","1.434"
"2024-06","2.411","207.802","0.279","4.652","94.268","2.076","8.066","11.900","2.250"
