"month","aqi","co","no","no2","o3","so2","pm2_5","pm10","nh3"
"2021-01","1.299","241.252","0.307","4.255","65.294","0.597","3.179","3.316","1.157"
"2021-02","1.863","237.190","0.188","3.385","76.369","0.331","7.465","14.446","2.211"
"2021-03","1.872","220.135","0.156","2.158","89.306","0.423","5.681","8.332","3.363"
"2021-04","1.972","213.646","0.162","1.686","95.633","0.425","5.182","6.496","2.892"
"2021-05","1.804","175.769","0.043","0.783","89.574","0.192","1.460","1.534","0.568"
"2021-06","1.563","165.496","0.043","0.717","77.489","0.158","3.186","4.783","0.759"
"2021-07","1.335","158.847","0.045","0.658","70.490","0.128","2.087","2.668","0.669"
"2021-08","1.526","199.321","0.040","0.673","76.809","0.152","2.781","4.499","0.787"
"2021-09","1.637","226.824","0.112","1.298","81.243","0.181","3.324","3.626","1.169"
"2021-10","1.613","235.998","0.103","1.934","79.525","0.276","3.157","3.359","0.920"
"2021-11","1.282","276.577","0.423","5.666","58.823","0.371","4.141","4.349","1.286"
"2021-12","1.246","309.674","0.795","8.594","48.190","0.409","4.927","5.177","1.542"
"2022-01","1.449","300.199","0.692","7.282","58.550","0.504","5.552","5.806","1.479"
"2022-02","1.560","253.628","0.284","3.247","78.170","0.414","3.794","4.019","2.184"
"2022-03","2.310","255.389","0.174","2.388","98.661","0.718","11.777","15.984","5.204"
"2022-04","1.786","222.420","0.250","1.854","89.795","0.395","5.116","5.651","2.550"
"2022-05","1.699","181.718","0.058","1.023","82.817","0.220","2.654","4.834","0.761"
"2022-06","1.475","169.652","0.057","0.726","75.813","0.141","3.261","6.005","0.885"
"2022-07","1.780","152.932","0.043","0.522","87.157","0.221","2.965","3.536","1.057"
"2022-08","1.786","157.882","0.049","0.840","87.910","0.246","3.301","3.521","1.211"
"2022-09","1.529","160.977","0.054","0.928","78.209","0.197","1.874","2.214","0.705"
"2022-10","1.472","185.108","0.081","1.874","69.721","0.144","4.322","7.190","0.689"
"2022-11","1.374","194.631","0.112","2.763","70.512","0.284","1.833","2.081","0.745"
"2022-12","1.369","280.184","0.558","7.389","53.718","0.577","4.797","4.999","2.021"
"2023-01","1.738","260.649","0.432","5.240","62.925","0.597","4.576","4.752","1.700"
"2023-02","1.944","261.969","0.595","5.111","73.845","0.565","6.904","7.236","3.667"
"2023-03","2.190","225.863","0.204","2.552","85.380","0.330","5.502","5.853","4.388"
"2023-04","2.179","201.911","0.192","1.580","86.411","0.275","2.254","2.376","2.500"
"2023-05","2.030","182.665","0.054","0.996","81.180","0.242","1.957","2.187","0.552"
"2023-06","2.074","191.772","0.040","0.780","84.159","0.199","2.682","4.274","0.757"
"2023-07","1.718","181.729","0.043","0.667","53.219","0.108","2.287","4.067","0.856"
"2023-08","1.852","171.490","0.047","0.893","72.593","0.165","3.447","6.088","1.058"
"2023-09","1.954","203.442","0.128","2.043","72.171","0.151","4.800","5.253","1.576"
"2023-10","1.929","200.488","0.076","1.818","73.124","0.165","4.306","7.959","0.728"
"2023-11","1.582","237.241","0.207","4.409","60.798","0.245","1.796","1.900","1.153"
"2023-12","1.398","289.176","0.572","7.672","49.492","0.315","3.740","3.945","1.323"
"2024-01","1.582","297.487","0.549","7.116","55.998","0.355","4.609","4.857","1.660"
"2024-02","1.711","270.683","0.444","5.253","64.761","0.312","5.096","8.847","3.313"
"2024-03","2.066","247.291","0.281","3.094","81.899","0.206","3.538","3.792","3.973"
"2024-04","2.367","218.843","0.276","2.188","91.303","0.164","3.760","5.779","2.177"
"2024-05","1.968","181.494","0.059","1.095","80.309","0.088","1.661","1.765","0.647"
"2024-06","1.867","160.513","0.055","0.850","72.408","0.073","1.488","2.660","0.574"
