"month","aqi","co","no","no2","o3","so2","pm2_5","pm10","nh3"
"2021-01","1.317","286.035","0.140","4.494","67.881","2.355","4.439","5.539","0.403"
"2021-02","2.708","417.913","0.956","10.908","69.304","2.283","22.079","25.317","1.129"
"2021-03","2.164","307.749","0.332","5.781","88.659","2.125","9.592","10.966","1.403"
"2021-04","2.268","288.700","0.413","5.707","94.600","2.381","10.779","14.520","1.148"
"2021-05","2.339","246.125","0.292","4.715","95.959","2.417","11.651","17.229","0.659"
"2021-06","3.011","238.676","0.239","5.653","107.670","2.569","25.036","50.345","0.641"
"2021-07","2.630","214.056","0.130","3.086","106.824","2.728","15.319","29.724","0.653"
"2021-08","2.642","273.679","0.123","3.197","107.747","2.422","15.983","25.803","0.890"
"2021-09","2.272","308.697","0.191","4.276","98.363","1.973","12.683","16.827","0.729"
"2021-10","1.701","309.857","0.195","4.329","77.363","2.107","7.738","9.441","0.289"
"2021-11","1.554","317.176","0.335","6.639","64.353","2.472","8.305","11.124","0.323"
"2021-12","1.481","315.280","0.307","4.299","69.793","1.910","4.832","5.815","0.359"
"2022-01","1.710","353.405","0.374","5.654","70.272","1.732","6.801","7.931","0.551"
"2022-02","2.165","378.780","0.521","7.805","76.448","2.896","11.738","13.201","1.088"
"2022-03","2.336","345.031","0.457","6.493","93.993","2.798","11.671","13.093","1.660"
"2022-04","2.038","310.945","0.437","5.792","94.377","1.682","7.496","9.518","1.277"
"2022-05","2.968","304.874","0.445","8.052","100.007","3.224","22.012","30.155","0.594"
"2022-06","2.853","244.591","0.207","5.134","110.203","2.472","19.667","30.296","0.622"
"2022-07","2.677","206.218","0.106","3.087","115.698","2.363","16.716","21.980","0.592"
"2022-08","2.151","217.304","0.089","2.489","101.734","1.772","9.726","12.380","0.648"
"2022-09","2.100","220.018","0.180","3.632","88.178","2.683","12.273","14.947","0.635"
"2022-10","2.664","285.553","0.473","6.645","81.110","2.138","24.847","30.737","0.433"
"2022-11","1.664","301.646","0.291","6.857","68.289","1.934","8.115","10.461","0.566"
"2022-12","2.161","408.560","0.976","10.791","49.785","2.291","20.916","25.314","0.575"
"2023-01","1.958","340.771","0.495","7.058","62.778","2.081","7.222","8.104","0.465"
"2023-02","2.396","378.580","0.554","8.529","78.148","2.434","16.012","19.011","1.266"
"2023-03","2.384","352.799","0.603","8.488","82.836","2.509","13.224","14.893","1.530"
"2023-04","2.400","294.682","0.408","5.326","91.909","2.623","9.213","10.717","1.031"
"2023-05","2.532","252.939","0.262","4.621","95.409","2.240","16.326","18.148","0.344"
"2023-06","2.678","255.182","0.157","4.379","100.418","1.768","13.848","17.982","0.578"
"2023-07","2.937","245.061","0.126","3.287","96.509","2.233","17.759","28.482","0.576"
"2023-08","2.741","241.867","0.121","2.779","105.400","2.155","12.974","15.853","0.618"
"2023-09","2.618","277.801","0.242","5.147","94.449","2.532","16.161","22.137","0.681"
"2023-10","2.458","329.718","0.378","7.718","83.352","2.237","16.018","24.564","0.681"
"2023-11","1.850","294.163","0.173","5.500","72.660","1.070","3.486","5.185","0.566"
"2023-12","1.956","415.178","0.702","11.131","58.829","1.785","9.880","12.932","0.809"
"2024-01","1.889","352.311","0.213","7.387","67.642","1.474","7.520","9.443","0.597"
"2024-02","2.287","422.911","0.674","11.039","69.810","2.504","16.175","4.165","1.139"
"2024-03","2.386","334.208","0.367","6.450","88.271","1.852","10.395","14.630","1.398"
"2024-04","2.614","325.556","0.569","7.330","96.851","1.739","11.583","15.789","1.561"
"2024-05","2.728","253.996","0.282","4.975","93.792","2.116","19.972","29.559","0.440"
"2024-06","2.742","225.215","0.185","4.315","106.025","2.308","12.826","18.950","0.748"
