"month","aqi","co","no","no2","o3","so2","pm2_5","pm10","nh3"
"2021-01","2.022","493.052","1.013","16.783","36.706","1.018","14.929","16.061","2.055"
"2021-02","2.528","475.596","2.505","14.116","48.533","1.168","21.183","25.204","6.001"
"2021-03","2.410","377.956","0.841","10.510","71.548","0.977","16.591","18.313","9.014"
"2021-04","1.754","285.200","0.257","5.777","78.786","0.904","7.423","8.270","4.667"
"2021-05","1.620","213.926","0.133","2.663","76.503","0.619","5.254","7.025","1.621"
"2021-06","1.928","196.264","0.111","2.517","81.003","0.442","8.750","17.112","2.746"
"2021-07","1.696","197.165","0.056","1.842","76.866","0.400","7.762","12.420","2.472"
"2021-08","1.769","259.037","0.105","2.868","76.696","0.522","7.669","12.232","3.468"
"2021-09","1.839","323.175","0.360","6.198","65.752","0.677","10.366","12.019","4.277"
"2021-10","2.072","393.756","0.605","9.472","58.009","0.995","13.903","15.109","2.524"
"2021-11","2.158","477.810","1.911","12.795","38.772","1.079","16.696","17.885","1.635"
"2021-12","3.130","822.769","9.636","26.185","22.787","1.592","32.574","33.975","3.631"
"2022-01","3.092","674.864","2.610","22.654","33.928","1.368","29.626","31.313","3.114"
"2022-02","2.284","511.666","2.452","14.983","51.360","1.132","18.307","19.929","6.037"
"2022-03","2.720","432.192","0.777","12.236","71.819","1.329","20.944","22.677","10.407"
"2022-04","1.917","309.012","0.444","5.974","79.936","0.710","8.205","9.380","4.788"
"2022-05","2.009","248.949","0.203","4.277","75.921","0.614","10.967","15.283","2.510"
"2022-06","2.090","208.199","0.139","2.676","79.934","0.477","10.799","18.256","2.951"
"2022-07","1.901","193.879","0.075","2.216","86.958","0.524","7.737","10.201","3.839"
"2022-08","1.759","223.529","0.105","3.903","77.182","0.553","7.335","8.481","4.508"
"2022-09","1.461","241.647","0.312","5.015","60.916","0.519","6.318","7.883","3.108"
"2022-10","2.490","363.032","1.208","10.045","52.061","0.686","18.623","22.947","2.839"
"2022-11","2.285","513.601","3.161","16.666","32.972","1.076","17.953","19.161","2.193"
"2022-12","2.524","707.194","8.607","23.336","14.984","1.689","22.617","23.952","3.843"
"2023-01","2.070","564.488","3.733","18.507","31.018","1.423","17.499","18.755","2.606"
"2023-02","2.321","452.505","0.971","13.769","57.402","1.399","20.473","22.085","5.961"
"2023-03","2.140","334.831","0.507","7.787","70.751","0.805","10.849","12.507","5.806"
"2023-04","2.121","311.501","0.428","6.527","72.464","0.721","9.430","10.790","5.137"
"2023-05","1.934","259.909","0.226","4.726","65.648","0.727","8.560","9.234","2.263"
"2023-06","2.028","236.506","0.174","3.464","73.027","0.447","7.953","10.484","2.743"
"2023-07","2.148","229.374","0.073","2.212","63.125","0.432","9.957","19.203","2.903"
"2023-08","2.179","242.531","0.143","3.707","81.070","0.616","8.947","10.557","4.439"
"2023-09","2.069","298.512","0.242","6.299","71.151","0.835","10.563","12.655","4.801"
"2023-10","2.095","328.072","0.524","7.351","66.205","0.702","11.486","15.447","2.298"
"2023-11","1.743","438.558","1.526","13.802","43.220","0.770","9.965","11.272","2.248"
"2023-12","2.192","654.319","4.120","22.584","29.769","1.050","20.486","22.636","2.658"
"2024-01","2.597","726.040","3.448","24.697","29.763","1.298","32.047","33.705","3.194"
"2024-02","2.685","529.190","1.092","14.568","51.232","0.739","35.454","22.686","4.525"
"2024-03","2.058","377.879","0.493","8.711","65.020","0.643","11.411","13.563","5.898"
"2024-04","2.285","320.977","0.422","6.463","79.411","0.538","10.650","12.665","4.966"
"2024-05","1.874","245.748","0.205","4.000","68.437","0.363","6.550","7.709","2.059"
"2024-06","1.997","202.872","0.108","2.474","75.869","0.291","5.919","9.636","2.155"
