"month","aqi","co","no","no2","o3","so2","pm2_5","pm10","nh3"
"2021-01","1.374","229.215","0.081","2.114","73.096","0.966","2.894","6.568","0.396"
"2021-02","2.466","283.746","0.439","6.362","78.471","2.331","16.293","25.901","2.450"
"2021-03","2.178","264.592","0.275","3.876","91.422","1.923","10.541","15.297","3.823"
"2021-04","2.183","246.647","0.256","3.891","98.872","1.852","8.500","14.538","2.512"
"2021-05","2.004","213.067","0.235","3.941","90.370","1.831","6.735","13.687","1.604"
"2021-06","2.808","212.316","0.203","5.272","94.961","2.529","16.468","38.281","2.368"
"2021-07","2.233","205.427","0.146","4.365","90.730","2.116","10.904","23.394","2.614"
"2021-08","2.656","267.074","0.155","4.731","94.067","2.255","16.787","42.912","3.349"
"2021-09","2.085","271.666","0.087","2.821","91.271","1.439","9.576","17.124","1.450"
"2021-10","1.754","274.655","0.106","2.631","87.873","1.415","5.477","9.137","1.008"
"2021-11","1.340","271.053","0.082","3.053","70.965","1.615","4.159","6.265","0.453"
"2021-12","1.493","291.605","0.277","4.701","66.453","1.645","5.763","9.140","1.020"
"2022-01","1.367","282.559","0.131","3.337","72.199","1.209","4.444","7.529","1.063"
"2022-02","1.705","318.683","0.512","6.087","75.888","2.068","6.872","11.505","4.253"
"2022-03","2.170","269.617","0.122","2.204","101.197","2.935","9.598","13.036","1.908"
"2022-04","2.176","264.080","0.250","3.839","99.509","2.037","8.609","13.087","2.611"
"2022-05","2.492","258.366","0.404","7.083","97.884","3.416","15.519","23.424","2.907"
"2022-06","2.478","218.671","0.216","5.405","90.757","2.376","14.542","28.134","2.795"
"2022-07","2.300","195.651","0.178","4.627","99.178","2.836","11.294","20.898","3.049"
"2022-08","2.234","211.779","0.140","3.955","98.700","2.398","11.741","20.339","2.612"
"2022-09","2.156","196.424","0.141","2.971","91.897","1.517","7.971","16.781","1.721"
"2022-10","2.634","233.153","0.277","5.150","81.234","2.291","18.502","32.386","1.590"
"2022-11","1.814","220.804","0.111","3.329","78.093","1.485","8.229","16.345","0.604"
"2022-12","1.820","267.128","0.231","5.821","63.807","2.082","10.099","19.903","1.027"
"2023-01","1.931","247.013","0.086","2.801","72.491","1.604","5.145","9.372","0.588"
"2023-02","2.133","295.679","0.350","5.582","81.174","2.193","8.769","11.681","3.351"
"2023-03","2.252","262.150","0.313","4.167","88.413","1.926","8.761","13.903","3.725"
"2023-04","2.464","252.530","0.286","4.066","95.479","1.705","8.454","12.481","3.257"
"2023-05","2.376","228.764","0.188","3.977","93.767","2.188","9.263","12.245","1.132"
"2023-06","2.475","222.297","0.155","3.437","97.310","2.045","12.506","19.195","1.379"
"2023-07","2.610","241.882","0.161","4.696","73.915","2.392","17.616","40.038","2.845"
"2023-08","2.441","235.608","0.168","4.405","95.105","2.501","11.647","18.394","2.623"
"2023-09","2.459","254.126","0.213","5.042","92.831","2.400","11.905","20.976","3.023"
"2023-10","2.344","263.693","0.337","5.763","86.078","2.309","11.958","24.258","1.980"
"2023-11","2.001","231.177","0.055","2.189","79.797","0.806","2.147","6.260","0.547"
"2023-12","1.871","267.217","0.104","4.067","71.210","1.240","5.054","10.183","0.886"
"2024-01","1.744","281.567","0.167","4.421","66.292","1.295","5.687","10.509","0.916"
"2024-02","1.971","292.945","0.243","5.080","74.946","1.505","7.458","-2.007","2.773"
"2024-03","2.250","275.214","0.305","4.190","88.282","1.439","6.375","12.161","3.373"
"2024-04","2.725","264.319","0.288","4.807","101.665","2.293","9.450","15.325","3.709"
"2024-05","2.374","230.907","0.270","4.887","89.657","2.162","9.009","14.859","1.776"
"2024-06","2.298","198.837","0.184","4.098","89.516","1.999","7.285","13.774","1.903"
