"month","aqi","co","no","no2","o3","so2","pm2_5","pm10","nh3"
"2021-01","1.166","261.384","0.063","3.079","62.450","1.003","3.899","4.712","2.561"
"2021-02","2.156","285.047","0.197","5.041","68.210","0.907","13.153","18.272","21.226"
"2021-03","1.910","250.122","0.128","3.269","83.475","0.919","8.672","10.053","20.557"
"2021-04","2.082","240.247","0.120","2.924","82.250","1.563","10.357","12.881","15.252"
"2021-05","1.960","193.684","0.062","1.465","81.738","0.855","8.841","14.003","5.773"
"2021-06","2.535","178.543","0.068","1.927","78.227","0.355","15.843","45.848","12.496"
"2021-07","2.009","182.746","0.047","1.393","78.630","0.461","9.459","22.005","8.861"
"2021-08","2.101","235.923","0.046","1.670","79.373","0.769","11.926","21.416","10.281"
"2021-09","1.887","268.207","0.127","2.875","76.417","0.505","8.826","12.366","16.808"
"2021-10","1.493","273.414","0.099","2.434","65.520","0.971","6.711","7.703","4.710"
"2021-11","1.267","280.193","0.092","3.402","51.875","0.999","5.862","6.729","3.797"
"2021-12","1.185","291.915","0.086","3.332","61.171","0.792","4.671","5.304","2.601"
"2022-01","1.499","302.468","0.097","3.625","66.562","0.713","7.076","8.050","5.261"
"2022-02","1.785","318.729","0.132","4.058","69.968","0.779","10.586","12.111","10.204"
"2022-03","2.121","288.831","0.190","3.832","86.740","1.413","11.281","12.766","28.237"
"2022-04","1.983","250.300","0.141","2.551","87.551","0.593","7.237","9.040","14.417"
"2022-05","2.203","210.171","0.082","2.305","78.650","0.515","11.898","19.306","11.274"
"2022-06","2.224","190.849","0.070","1.950","78.980","0.431","11.884","22.319","12.753"
"2022-07","1.924","178.758","0.048","1.612","82.703","0.373","9.488","13.779","13.169"
"2022-08","1.657","191.214","0.044","2.001","73.980","0.394","6.961","9.462","12.852"
"2022-09","1.578","191.436","0.061","2.028","72.835","0.739","5.834","7.829","8.993"
"2022-10","2.330","220.769","0.229","3.828","66.127","0.577","16.564","23.472","13.018"
"2022-11","1.421","249.085","0.105","3.746","60.493","0.718","6.802","8.209","6.385"
"2022-12","1.737","300.983","0.120","5.177","47.438","0.866","12.030","15.127","4.541"
"2023-01","1.762","277.240","0.110","3.773","58.911","0.847","7.040","7.971","5.870"
"2023-02","2.186","286.502","0.125","4.073","71.673","1.434","13.819","16.486","14.865"
"2023-03","2.117","256.690","0.113","3.190","81.818","0.794","8.330","10.191","19.780"
"2023-04","2.139","241.617","0.105","2.413","81.293","0.635","6.770","8.138","11.799"
"2023-05","1.923","205.844","0.061","1.778","73.121","0.489","6.645","7.362","7.920"
"2023-06","1.939","203.361","0.071","1.928","69.325","0.272","6.768","10.880","12.370"
"2023-07","2.183","211.191","0.052","1.544","59.852","0.631","12.912","27.039","10.470"
"2023-08","2.106","208.686","0.044","1.805","78.679","0.489","7.726","10.302","12.444"
"2023-09","2.156","227.063","0.093","2.655","74.583","0.895","10.647","14.621","13.068"
"2023-10","2.170","253.961","0.151","3.265","69.299","1.107","13.251","22.439","8.428"
"2023-11","1.610","253.302","0.088","2.927","60.822","0.238","2.754","4.243","3.366"
"2023-12","1.676","289.387","0.100","4.225","57.018","0.331","7.551","11.603","3.990"
"2024-01","1.760","290.959","0.086","3.687","61.180","0.531","7.354","8.770","3.901"
"2024-02","2.050","301.393","0.125","4.532","68.398","0.503","11.379","-0.507","16.299"
"2024-03","1.992","278.233","0.151","3.933","73.113","0.665","7.323","11.929","18.580"
"2024-04","2.308","248.557","0.155","3.256","83.022","0.490","10.892","16.686","20.268"
"2024-05","2.023","207.142","0.065","1.826","75.016","0.291","6.631","9.223","9.299"
"2024-06","2.069","181.880","0.067","1.739","75.730","0.209","6.648","15.411","10.790"
