"month","aqi","co","no","no2","o3","so2","pm2_5","pm10","nh3"
"2021-01","1.766","234.171","0.048","1.579","65.567","6.502","11.118","19.778","0.187"
"2021-02","2.277","251.830","0.122","2.719","66.672","4.079","16.606","20.320","1.475"
"2021-03","1.738","238.100","0.108","2.090","76.690","2.038","7.444","8.587","2.534"
"2021-04","2.047","219.219","0.048","1.502","80.795","2.930","10.833","18.948","1.328"
"2021-05","2.214","189.384","0.039","1.000","80.772","4.757","13.165","21.277","0.530"
"2021-06","2.810","174.619","0.038","1.153","67.921","3.330","27.732","69.617","0.878"
"2021-07","2.218","174.545","0.028","0.793","68.869","4.383","16.042","34.295","0.712"
"2021-08","2.711","236.955","0.036","1.073","82.960","3.593","20.678","39.576","1.165"
"2021-09","2.031","246.745","0.063","1.853","64.961","2.045","12.886","19.230","1.432"
"2021-10","1.452","258.163","0.074","1.646","61.608","2.433","7.414","8.812","0.463"
"2021-11","1.958","252.602","0.058","1.961","59.622","4.341","14.777","19.912","0.221"
"2021-12","1.261","269.304","0.057","2.280","62.551","3.779","4.608","5.358","0.401"
"2022-01","1.275","270.084","0.058","1.896","67.548","2.338","3.984","4.754","0.426"
"2022-02","1.690","278.026","0.089","2.310","71.200","2.649","8.126","9.528","1.310"
"2022-03","2.022","266.247","0.077","1.850","84.440","3.139","9.411","10.971","2.016"
"2022-04","1.914","235.342","0.051","1.470","83.880","2.385","7.165","10.924","1.490"
"2022-05","2.278","195.162","0.046","1.178","75.063","2.962","14.405","22.805","0.598"
"2022-06","2.261","178.974","0.037","1.083","69.023","1.286","12.993","26.113","0.964"
"2022-07","1.957","167.893","0.029","0.922","70.030","0.842","11.060","18.010","1.271"
"2022-08","1.849","191.137","0.027","1.098","65.038","1.707","11.001","14.262","1.078"
"2022-09","1.964","181.828","0.049","1.454","70.385","4.674","12.630","16.268","1.056"
"2022-10","2.030","198.918","0.154","2.581","59.805","1.853","13.950","19.886","1.010"
"2022-11","1.558","215.411","0.089","2.397","60.750","3.729","9.368","12.274","0.489"
"2022-12","2.098","249.885","0.084","2.837","52.988","3.366","17.371","24.100","0.374"
"2023-01","1.785","252.031","0.071","2.446","61.303","4.052","6.953","8.442","0.466"
"2023-02","1.989","255.448","0.099","2.342","73.637","2.070","9.980","13.568","1.604"
"2023-03","2.261","236.055","0.077","1.677","79.456","4.001","11.959","13.727","1.624"
"2023-04","2.136","222.253","0.048","1.382","80.420","2.760","8.571","10.011","1.195"
"2023-05","1.946","196.767","0.040","1.094","67.062","2.420","11.106","12.970","0.383"
"2023-06","1.985","188.997","0.041","0.990","58.243","1.419","12.691","18.133","0.671"
"2023-07","2.168","201.256","0.034","0.878","54.205","2.396","14.856","30.906","1.086"
"2023-08","2.022","208.289","0.030","1.115","69.728","1.672","11.385","14.219","1.255"
"2023-09","2.047","217.973","0.058","1.802","66.142","1.815","12.419","20.153","1.475"
"2023-10","2.311","228.834","0.090","2.054","65.713","4.135","19.755","31.541","0.660"
"2023-11","1.906","218.493","0.036","1.153","73.324","2.284","3.781","6.052","0.220"
"2023-12","1.638","258.345","0.074","2.476","61.518","1.864","6.210","9.494","0.542"
"2024-01","1.828","257.527","0.051","2.024","66.371","1.744","5.438","7.848","0.478"
"2024-02","2.022","261.873","0.068","2.125","73.205","2.650","10.561","-0.727","1.080"
"2024-03","2.059","247.875","0.065","1.587","77.693","2.241","8.938","16.449","1.484"
"2024-04","2.448","222.447","0.059","1.370","88.797","1.506","9.374","14.428","1.611"
"2024-05","2.118","196.629","0.035","1.083","70.117","1.598","13.194","20.387","0.476"
"2024-06","2.152","175.479","0.035","0.908","71.840","2.396","13.155","22.997","0.735"
