"month","aqi","co","no","no2","o3","so2","pm2_5","pm10","nh3"
"2021-01","2.127","622.200","8.120","20.938","31.783","1.744","17.385","19.210","2.823"
"2021-02","2.909","791.739","16.098","24.783","35.773","2.322","30.163","35.897","9.208"
"2021-03","2.623","572.507","6.630","20.497","56.284","1.692","19.708","22.158","12.493"
"2021-04","2.013","427.432","3.157","14.418","62.227","1.368","10.959","12.157","7.778"
"2021-05","1.837","325.841","2.065","10.304","61.470","1.092","9.456","12.896","3.633"
"2021-06","2.358","298.864","1.255","11.609","64.378","0.795","13.661","22.151","5.332"
"2021-07","1.761","231.914","0.452","6.896","64.219","0.564","9.298","15.128","3.359"
"2021-08","1.874","310.415","0.672","8.251","67.913","0.695","9.265","14.408","4.419"
"2021-09","2.000","433.788","3.479","13.115","51.629","0.881","11.973","14.169","4.728"
"2021-10","1.925","455.146","3.657","12.725","53.233","1.245","11.981","13.328","2.588"
"2021-11","1.747","544.428","7.285","14.832","36.653","1.424","13.041","14.417","2.396"
"2021-12","2.735","941.738","21.717","27.784","21.709","2.680","28.185","30.318","5.976"
"2022-01","2.922","911.375","17.193","30.492","28.449","2.842","31.782","34.344","5.565"
"2022-02","2.773","839.018","15.604","27.531","35.670","2.541","26.058","28.578","9.690"
"2022-03","2.689","576.556","4.967","21.046","62.433","2.095","21.629","23.526","15.300"
"2022-04","2.024","428.850","2.807","13.870","67.991","1.121","10.297","11.907","7.743"
"2022-05","2.276","383.562","2.482","14.268","60.850","1.061","13.555","19.274","4.887"
"2022-06","2.214","283.438","1.063","10.397","67.676","0.903","12.456","21.519","4.900"
"2022-07","1.934","221.284","0.415","5.873","78.597","0.529","8.501","12.530","4.440"
"2022-08","1.882","288.559","1.067","9.667","66.796","0.678","9.083","10.717","4.824"
"2022-09","1.614","366.105","2.968","13.219","46.012","0.853","8.530","10.794","3.865"
"2022-10","3.148","669.122","12.257","24.128","34.346","1.859","28.644","35.795","6.736"
"2022-11","2.212","723.499","15.493","23.245","29.185","2.168","19.442","21.431","4.675"
"2022-12","2.091","721.916","16.378","19.525","17.602","1.535","18.401","20.402","2.057"
"2023-01","2.239","809.296","20.145","21.766","28.211","2.471","23.231","25.273","3.856"
"2023-02","2.623","782.102","14.103","25.710","40.572","2.632","30.191","32.746","9.577"
"2023-03","2.160","511.486","6.277","15.891","54.826","1.362","15.230","17.827","7.720"
"2023-04","2.207","442.086","3.561","14.256","62.790","1.099","11.521","13.348","6.838"
"2023-05","2.024","321.159","2.116","8.807","63.135","0.865","9.014","9.754","3.064"
"2023-06","1.989","318.946","1.377","11.022","56.604","0.666","9.894","12.144","4.536"
"2023-07","2.151","266.241","0.446","7.655","54.762","0.703","11.929","23.802","4.509"
"2023-08","2.191","326.592","1.066","11.845","64.450","0.807","11.017","13.651","5.728"
"2023-09","2.172","386.903","2.261","13.273","59.696","1.099","12.179","14.655","5.346"
"2023-10","2.130","507.803","5.118","17.454","51.772","1.367","14.847","18.933","3.524"
"2023-11","1.897","627.100","9.298","21.349","31.428","1.649","13.065","15.226","3.431"
"2023-12","2.364","878.470","17.497","29.396","21.525","2.382","26.380","29.919","4.876"
"2024-01","2.429","804.856","13.153","27.574","30.423","2.397","26.844","29.340","5.006"
"2024-02","2.853","839.544","12.506","30.188","33.170","2.466","35.392","23.626","10.696"
"2024-03","2.241","599.292","5.483","22.486","45.060","1.620","16.192","19.439","10.084"
"2024-04","2.343","468.473","2.092","18.361","62.062","1.224","13.534","17.218","8.176"
"2024-05","1.964","348.815","1.246","11.965","58.210","0.821","8.486","10.126","3.662"
"2024-06","1.903","274.132","0.737","9.372","66.277","0.708","7.929","12.798","4.102"
