"month","aqi","co","no","no2","o3","so2","pm2_5","pm10","nh3"
"2021-01","1.520","415.850","1.539","16.038","50.525","3.533","8.729","9.615","0.976"
"2021-02","2.436","481.052","5.126","18.053","56.950","4.819","19.878","25.436","1.989"
"2021-03","2.338","410.324","2.539","16.005","79.045","4.219","18.189","20.123","3.548"
"2021-04","2.038","316.937","1.354","10.866","89.455","3.535","8.936","9.994","1.634"
"2021-05","1.973","246.717","0.499","8.783","86.407","3.445","8.489","11.375","0.631"
"2021-06","2.393","226.171","0.378","10.392","94.455","4.664","13.734","21.411","0.496"
"2021-07","2.022","207.024","0.208","6.133","90.555","3.568","10.855","16.746","0.501"
"2021-08","2.383","305.758","0.332","10.499","96.888","4.426","13.942","20.932","1.386"
"2021-09","2.125","375.983","1.076","16.124","73.942","4.670","12.484","14.130","2.077"
"2021-10","1.914","375.216","1.010","10.872","69.780","3.227","10.999","12.129","1.333"
"2021-11","1.354","400.140","2.254","12.053","51.629","3.086","7.207","7.821","0.774"
"2021-12","2.199","605.710","7.791","23.034","36.572","4.871","16.861","17.857","1.258"
"2022-01","2.056","482.877","1.966","17.842","53.931","4.013","16.071","17.950","1.257"
"2022-02","2.014","440.371","1.831","15.814","63.279","3.773","12.112","14.062","1.887"
"2022-03","2.634","409.559","0.971","14.760","83.064","4.659","19.096","20.446","4.738"
"2022-04","2.263","353.410","1.076","13.221","89.765","3.942","11.443","13.157","2.134"
"2022-05","2.180","287.792","0.760","12.218","85.763","4.489","13.449","17.297","0.894"
"2022-06","2.367","239.477","0.401","10.343","90.440","4.337","13.314","21.700","0.709"
"2022-07","2.391","220.659","0.219","9.639","104.498","4.999","12.678","16.846","1.327"
"2022-08","2.151","250.283","0.336","12.541","92.389","4.980","11.215","12.645","1.652"
"2022-09","1.819","252.892","0.553","9.841","77.853","3.334","7.782","10.275","1.291"
"2022-10","2.584","403.507","4.409","19.348","54.876","5.090","19.090","24.676","1.073"
"2022-11","1.613","362.360","1.368","13.188","54.094","3.364","9.198","10.064","0.880"
"2022-12","1.564","428.123","1.500","16.905","39.666","3.804","9.757","10.998","0.666"
"2023-01","1.754","365.772","1.021","12.435","55.269","3.356","8.592","10.069","0.799"
"2023-02","2.436","476.041","3.534","19.055","67.634","4.825","24.535","26.742","2.431"
"2023-03","2.323","344.667","0.949","11.718","79.306","3.256","12.937","15.458","2.061"
"2023-04","2.319","321.594","1.043","11.527","85.901","3.715","9.144","10.542","2.057"
"2023-05","2.102","264.139","0.672","9.405","80.441","3.638","7.575","8.120","0.760"
"2023-06","2.510","246.735","0.354","9.780","95.059","4.506","10.465","12.747","0.745"
"2023-07","2.382","232.069","0.173","5.542","74.531","3.270","12.433","25.049","0.485"
"2023-08","2.726","312.489","0.434","14.162","101.258","5.551","17.927","21.351","1.558"
"2023-09","2.295","309.189","0.998","11.739","80.015","3.918","11.710","13.866","1.821"
"2023-10","2.104","331.977","1.240","13.404","71.487","4.054","11.576","15.084","0.866"
"2023-11","1.710","360.860","0.964","14.575","54.200","3.443","5.485","6.970","0.775"
"2023-12","1.894","480.656","4.402","20.405","44.867","4.655","10.926","13.007","1.053"
"2024-01","2.174","610.151","6.909","24.938","40.381","5.196","18.583","20.327","1.352"
"2024-02","2.412","486.925","3.307","19.686","56.864","4.237","23.032","10.734","1.433"
"2024-03","2.229","389.905","1.272","15.729","74.994","3.636","10.500","12.888","1.351"
"2024-04","2.526","322.136","0.847","11.982","90.910","3.660","8.823","10.674","1.663"
"2024-05","2.265","253.430","0.552","9.877","85.256","3.611","6.653","8.595","0.550"
"2024-06","2.226","207.148","0.331","7.242","85.712","3.205","6.896","12.719","0.381"
