"month","aqi","co","no","no2","o3","so2","pm2_5","pm10","nh3"
"2021-01","1.153","250.024","0.057","2.781","64.716","0.702","2.753","3.400","0.827"
"2021-02","1.882","278.225","0.221","5.189","69.784","0.666","9.224","13.956","5.724"
"2021-03","1.841","246.032","0.179","2.873","84.704","0.717","6.725","7.664","5.955"
"2021-04","1.818","224.305","0.153","2.088","86.263","0.675","4.894","6.310","3.335"
"2021-05","1.833","190.575","0.118","1.568","82.168","0.523","5.338","8.929","1.336"
"2021-06","2.435","176.685","0.115","2.066","76.985","0.241","14.652","44.353","2.712"
"2021-07","1.948","176.698","0.077","1.415","80.535","0.297","8.011","20.686","2.316"
"2021-08","1.952","227.417","0.087","1.688","81.850","0.368","9.312","18.400","2.693"
"2021-09","1.629","256.837","0.191","2.764","74.875","0.383","6.853","9.787","3.048"
"2021-10","1.330","266.476","0.127","2.814","65.105","0.603","4.885","5.689","1.281"
"2021-11","1.089","261.843","0.110","3.151","55.913","0.796","3.464","4.138","0.784"
"2021-12","1.109","278.467","0.195","3.769","62.729","0.558","2.972","3.581","1.175"
"2022-01","1.286","299.165","0.221","4.692","65.673","0.751","4.766","5.674","1.933"
"2022-02","1.505","294.139","0.192","3.728","72.908","0.601","5.681","6.624","3.259"
"2022-03","2.055","282.083","0.158","3.304","87.494","1.073","9.613","10.705","7.643"
"2022-04","1.942","241.993","0.173","2.249","89.390","0.459","5.235","6.253","3.363"
"2022-05","1.853","199.915","0.184","2.208","79.020","0.349","7.794","14.597","2.215"
"2022-06","2.065","183.645","0.122","2.014","78.922","0.301","8.205","18.101","2.565"
"2022-07","1.882","169.217","0.083","1.576","82.622","0.300","7.828","12.644","2.949"
"2022-08","1.585","182.030","0.063","1.760","70.588","0.279","5.869","8.984","2.423"
"2022-09","1.469","183.664","0.113","1.985","73.598","0.263","3.524","4.981","1.817"
"2022-10","1.895","229.645","0.323","5.510","62.678","0.458","10.529","17.158","3.797"
"2022-11","1.247","228.595","0.109","3.701","65.835","0.563","3.386","4.315","1.166"
"2022-12","1.408","269.761","0.154","4.727","58.541","0.751","5.365","7.040","1.103"
"2023-01","1.644","268.072","0.173","4.419","61.088","0.895","3.900","4.718","1.443"
"2023-02","1.968","278.532","0.224","4.363","72.580","0.974","8.068","9.796","4.276"
"2023-03","2.067","243.083","0.123","2.468","82.018","0.557","5.286","6.395","3.752"
"2023-04","2.119","231.458","0.142","2.035","84.597","0.504","4.540","5.369","2.604"
"2023-05","1.812","195.489","0.111","1.718","69.832","0.306","3.891","4.365","1.356"
"2023-06","1.938","195.849","0.119","1.819","68.520","0.178","5.115","11.826","2.079"
"2023-07","2.140","207.432","0.082","1.602","62.696","0.452","10.240","23.897","2.452"
"2023-08","2.047","201.483","0.078","2.069","76.851","0.331","6.801","8.984","3.053"
"2023-09","1.907","221.734","0.190","2.870","71.506","0.535","7.413","10.869","3.096"
"2023-10","1.939","237.492","0.217","3.888","69.809","0.437","7.158","14.806","2.411"
"2023-11","1.694","238.029","0.083","2.816","65.092","0.204","1.945","3.010","0.670"
"2023-12","1.544","296.062","0.213","5.525","58.991","0.423","4.989","7.165","1.617"
"2024-01","1.708","296.277","0.190","4.793","62.953","0.486","5.343","6.489","1.765"
"2024-02","1.889","300.817","0.234","5.359","67.540","0.450","8.234","-4.597","4.827"
"2024-03","1.981","267.925","0.126","3.377","76.165","0.369","5.254","10.378","3.907"
"2024-04","2.390","238.073","0.168","2.915","86.882","0.318","7.156","12.260","4.260"
"2024-05","1.837","198.950","0.086","1.763","72.656","0.172","3.506","4.738","1.429"
"2024-06","1.953","174.684","0.100","1.665","73.750","0.134","5.123","13.376","1.850"
