"month","aqi","co","no","no2","o3","so2","pm2_5","pm10","nh3"
"2021-01","4.306","2628.516","92.660","67.338","7.785","5.082","100.265","104.595","13.150"
"2021-02","4.138","2410.785","94.761","49.263","17.708","4.729","102.586","113.247","18.478"
"2021-03","3.818","1643.180","47.716","47.203","38.731","3.443","70.310","76.599","23.803"
"2021-04","2.862","814.429","13.939","27.279","56.880","2.118","28.685","32.217","16.070"
"2021-05","2.042","503.268","6.159","17.200","57.677","1.227","12.778","14.702","6.737"
"2021-06","2.294","341.123","1.510","11.928","75.797","0.890","12.323","17.214","8.163"
"2021-07","1.957","327.322","1.194","12.123","65.723","0.693","10.961","13.682","6.471"
"2021-08","2.372","488.046","3.252","16.456","66.851","1.000","15.396","19.310","9.482"
"2021-09","2.946","907.560","17.558","30.405","45.834","2.212","27.360","30.882","15.094"
"2021-10","3.750","1618.652","49.112","38.546","29.639","2.887","67.024","71.810","8.487"
"2021-11","3.954","1932.978","70.107","45.581","11.527","3.638","70.859","74.781","6.458"
"2021-12","4.695","2999.911","108.173","70.639","3.447","4.338","127.713","132.308","9.371"
"2022-01","4.656","2628.259","84.579","69.126","9.117","5.106","119.043","124.224","12.731"
"2022-02","4.177","1866.786","54.174","53.287","20.920","3.567","77.883","82.920","15.040"
"2022-03","4.016","1403.923","33.416","44.570","44.430","3.513","60.236","66.401","37.247"
"2022-04","3.043","798.412","12.478","26.804","59.832","1.892","27.436","30.969","19.157"
"2022-05","2.487","562.201","6.404","19.185","64.459","1.350","17.356","20.829","7.279"
"2022-06","2.332","387.616","2.682","13.068","74.704","0.945","13.555","17.897","7.899"
"2022-07","2.086","255.147","0.405","7.165","90.882","0.716","9.097","11.358","8.957"
"2022-08","2.163","399.884","2.729","15.680","70.884","1.045","12.054","14.254","12.908"
"2022-09","2.663","749.468","12.282","28.932","44.918","1.833","21.851","24.990","11.627"
"2022-10","3.972","1752.144","63.500","35.824","26.433","3.301","62.874","68.507","8.153"
"2022-11","4.192","2314.689","93.423","48.954","9.223","4.275","87.372","92.062","8.767"
"2022-12","4.247","2278.715","84.930","54.100","2.976","4.103","88.270","91.691","7.568"
"2023-01","3.883","2269.866","80.055","55.284","7.513","4.549","89.478","93.664","9.590"
"2023-02","3.546","1780.813","52.035","49.271","28.625","3.728","85.289","90.342","20.618"
"2023-03","3.261","1392.508","37.823","40.019","42.444","2.732","58.353","63.457","17.466"
"2023-04","2.828","851.182","15.752","26.890","56.337","1.958","28.500","31.965","17.104"
"2023-05","2.325","599.325","7.800","19.725","56.978","1.281","16.663","18.614","6.007"
"2023-06","2.540","427.098","2.376","13.560","77.946","0.870","14.476","18.071","6.215"
"2023-07","2.296","362.510","1.036","11.475","58.698","0.630","12.336","16.201","6.022"
"2023-08","2.517","489.082","3.268","19.426","71.371","1.191","17.508","20.673","10.981"
"2023-09","3.011","1090.415","21.312","37.728","44.586","2.293","35.216","39.436","9.657"
"2023-10","2.905","1294.787","36.581","32.576","33.580","2.569","43.593","49.142","7.226"
"2023-11","3.253","1620.387","52.311","43.113","12.439","3.492","53.286","57.107","8.094"
"2023-12","3.949","2423.345","92.696","53.031","4.920","4.183","89.862","94.099","9.336"
"2024-01","4.411","2934.225","105.114","64.172","5.547","4.914","128.325","133.018","10.881"
"2024-02","3.924","2471.086","84.098","55.403","16.766","3.954","121.175","112.417","14.214"
"2024-03","2.857","1004.026","18.839","31.950","41.129","1.936","36.582","40.460","15.858"
"2024-04","2.833","862.726","12.536","30.646","57.559","1.828","29.149","32.590","11.427"
"2024-05","2.202","559.154","5.057","20.356","51.850","1.068","13.795","15.716","5.053"
"2024-06","2.043","369.674","1.572","12.991","59.165","0.697","9.998","12.551","4.451"
