"month","aqi","co","no","no2","o3","so2","pm2_5","pm10","nh3"
"2021-01","1.793","530.446","6.272","18.982","56.273","3.293","11.143","14.054","1.821"
"2021-02","3.246","1360.558","31.988","50.931","45.631","7.907","54.530","61.244","7.315"
"2021-03","2.980","882.211","13.110","37.212","64.380","6.199","30.613","34.323","6.036"
"2021-04","2.833","660.048","7.711","30.026","73.689","6.677","23.515","28.936","4.267"
"2021-05","2.691","546.023","5.562","25.737","79.256","4.795","22.599","30.695","2.515"
"2021-06","3.522","580.628","3.126","32.619","83.203","4.466","32.505","66.590","3.513"
"2021-07","2.636","326.512","0.804","14.555","95.725","3.337","18.899","33.590","1.924"
"2021-08","2.981","468.903","1.221","19.343","95.264","3.490","23.857","41.167","2.862"
"2021-09","2.725","673.419","3.814","33.294","74.736","4.946","21.196","26.838","3.950"
"2021-10","2.126","648.531","6.015","27.436","56.668","5.725","17.275","19.784","2.516"
"2021-11","2.158","684.405","10.154","25.752","44.574","5.729","16.576","19.049","2.029"
"2021-12","2.177","814.568","15.297","27.068","46.042","4.298","18.781","21.236","2.800"
"2022-01","2.587","1010.115","18.549","37.423","44.160","4.893","29.253","32.371","3.805"
"2022-02","2.637","908.119","15.532","35.474","51.873","5.085","27.019","30.821","4.647"
"2022-03","2.915","924.080","12.696","41.320","61.598","6.947","30.917","34.176","6.967"
"2022-04","2.660","739.350","8.038","33.565","76.686","4.848","25.108","30.099","4.612"
"2022-05","3.242","763.843","8.190","41.184","68.773","5.517","33.917","45.015","3.374"
"2022-06","3.053","521.239","2.785","29.894","87.237","4.540","24.966","38.445","3.043"
"2022-07","2.444","297.199","0.798","12.028","98.346","2.402","14.214","23.488","2.259"
"2022-08","2.484","472.043","1.974","23.370","88.835","3.745","16.170","21.077","3.565"
"2022-09","2.203","407.782","1.895","19.029","80.289","4.015","12.969","17.278","2.399"
"2022-10","3.803","1299.649","25.107","59.851","42.788","8.458","54.027","64.373","4.686"
"2022-11","2.349","870.058","15.892","35.616","49.105","5.661","25.189","28.580","3.145"
"2022-12","2.692","978.830","22.727","36.375","38.662","7.062","35.315","43.331","3.055"
"2023-01","2.415","937.414","20.391","33.086","41.724","5.158","26.581","29.728","3.253"
"2023-02","2.897","1016.603","19.518","40.160","55.797","6.955","36.751","41.008","5.229"
"2023-03","2.554","646.166","7.956","26.205","73.262","4.127","20.951","25.908","3.803"
"2023-04","2.656","663.905","7.191","28.886","75.139","4.236","24.417","28.666","3.743"
"2023-05","2.667","743.302","6.612","36.723","67.253","4.902","30.674","33.867","2.994"
"2023-06","2.607","498.037","1.761","25.433","82.567","3.524","19.899","23.893","2.337"
"2023-07","2.687","322.220","0.622","11.867","78.938","2.872","17.858","36.237","1.429"
"2023-08","2.657","461.571","1.429","20.613","91.012","3.211","17.683","24.478","2.792"
"2023-09","2.744","744.195","6.951","38.006","65.219","6.251","31.689","39.118","4.738"
"2023-10","2.719","740.984","9.182","33.596","65.832","6.762","29.151","39.177","3.206"
"2023-11","2.129","598.056","9.019","21.782","62.767","2.867","10.373","14.720","2.110"
"2023-12","2.612","1080.327","26.028","38.665","41.447","5.031","29.568","37.876","3.994"
"2024-01","2.439","889.897","17.063","32.399","46.542","4.587","24.845","29.791","3.234"
"2024-02","2.932","1183.550","25.694","46.998","46.093","6.490","39.263","30.458","6.056"
"2024-03","2.639","802.043","11.568","33.721","68.010","5.416","22.032","27.317","4.983"
"2024-04","3.181","970.010","10.247","50.427","63.437","6.314","36.208","42.765","5.651"
"2024-05","2.710","691.256","5.044","38.954","65.737","5.152","25.404","31.825","3.278"
"2024-06","2.562","422.287","2.126","20.797","87.332","3.653","16.007","23.302","2.928"
