"month","aqi","co","no","no2","o3","so2","pm2_5","pm10","nh3"
"2021-01","2.047","265.409","0.754","3.700","75.137","1.125","13.560","32.689","0.420"
"2021-02","2.912","305.000","0.686","7.543","84.094","6.719","25.907","33.795","0.761"
"2021-03","2.524","262.636","0.157","3.514","102.019","7.127","15.792","18.335","0.903"
"2021-04","2.606","288.570","0.697","7.047","99.871","6.186","15.300","22.581","0.914"
"2021-05","2.433","266.361","0.620","7.419","93.450","4.114","14.235","20.592","0.565"
"2021-06","3.743","253.780","0.333","7.838","103.443","8.288","51.862","94.703","0.438"
"2021-07","2.702","223.929","0.238","4.770","98.560","4.961","26.112","40.219","0.457"
"2021-08","3.110","292.144","0.252","5.381","104.914","4.331","27.168","51.245","0.725"
"2021-09","2.612","297.655","0.205","4.462","98.239","4.731","17.876","24.945","0.408"
"2021-10","2.101","281.882","0.065","2.854","85.892","6.560","10.959","13.923","0.166"
"2021-11","1.894","284.386","0.124","4.317","76.387","3.394","10.541","15.802","0.243"
"2021-12","1.815","286.222","0.105","3.468","78.810","1.404","5.906","9.353","0.298"
"2022-01","1.764","293.964","0.319","3.817","83.137","1.529","4.398","7.373","0.435"
"2022-02","2.086","317.962","0.276","5.805","87.692","2.888","8.302","11.891","1.010"
"2022-03","2.338","284.204","0.191","3.373","101.891","8.983","10.866","13.189","0.945"
"2022-04","2.576","290.820","0.511","5.873","102.589","7.550","15.715","21.942","0.750"
"2022-05","2.765","276.107","0.716","8.038","104.028","6.653","23.091","31.159","0.637"
"2022-06","3.222","268.621","0.493","7.821","110.105","6.427","30.125","47.270","0.547"
"2022-07","2.460","194.795","0.215","3.769","101.798","3.621","14.049","26.444","0.431"
"2022-08","2.392","214.282","0.126","3.075","101.549","2.415","13.444","20.470","0.698"
"2022-09","2.304","212.914","0.246","4.006","95.793","3.622","10.730","17.584","0.459"
"2022-10","2.859","230.521","0.285","5.666","91.012","6.309","23.419","30.932","0.217"
"2022-11","2.076","236.664","0.115","3.941","84.083","3.364","10.925","19.062","0.213"
"2022-12","2.243","366.084","2.062","10.615","64.818","2.372","15.595","30.250","0.824"
"2023-01","2.024","259.353","0.158","3.804","76.639","2.701","6.194","8.546","0.199"
"2023-02","2.288","267.184","0.215","4.018","93.351","4.447","6.114","9.277","0.699"
"2023-03","2.659","295.155","0.484","5.748","98.166","3.429","11.823","16.286","1.171"
"2023-04","2.958","263.269","0.333","4.471","105.419","5.043","17.247","20.962","0.795"
"2023-05","2.839","232.645","0.186","3.521","99.450","6.829","23.804","26.898","0.180"
"2023-06","3.032","252.110","0.250","4.732","107.539","5.462","25.738","31.624","0.408"
"2023-07","3.172","267.726","0.297","6.195","86.557","10.187","35.470","52.395","0.532"
"2023-08","2.567","227.455","0.140","2.663","102.123","2.789","11.182","17.020","0.525"
"2023-09","2.843","271.455","0.287","5.684","96.957","4.863","21.508","29.769","0.460"
"2023-10","2.652","273.047","0.232","5.541","95.022","2.729","15.319","31.412","0.476"
"2023-11","2.085","255.870","0.131","3.806","85.349","1.097","3.942","11.117","0.407"
"2023-12","2.163","272.487","0.092","3.911","82.623","3.758","9.618","18.109","0.272"
"2024-01","2.024","307.579","0.226","5.761","78.269","1.321","6.616","12.128","0.528"
"2024-02","2.448","339.184","0.436","7.792","86.604","3.856","20.173","13.970","1.110"
"2024-03","2.595","319.864","0.405","7.213","93.664","2.044","12.318","23.987","1.357"
"2024-04","3.000","302.804","0.571","8.162","102.657","7.571","20.064","26.711","0.880"
"2024-05","3.066","270.075","0.512","7.146","96.469","5.895","29.157","35.731","0.524"
"2024-06","2.557","209.750","0.221","4.545","93.689","5.798","16.641","22.497","0.282"
