"month","aqi","co","no","no2","o3","so2","pm2_5","pm10","nh3"
"2021-01","1.335","329.996","0.130","5.728","49.742","0.781","6.841","8.187","1.734"
"2021-02","2.286","364.068","0.245","7.164","53.677","0.895","15.406","20.241","8.188"
"2021-03","2.048","305.044","0.272","4.838","69.968","0.752","11.377","13.218","10.701"
"2021-04","1.792","262.124","0.182","3.234","74.751","0.910","7.821","9.281","5.659"
"2021-05","1.687","208.776","0.116","2.312","71.539","0.661","6.864","10.817","3.340"
"2021-06","2.293","186.251","0.098","1.915","74.613","0.389","12.333","32.188","4.078"
"2021-07","1.707","185.938","0.071","1.729","69.059","0.397","7.735","14.214","4.117"
"2021-08","1.755","241.253","0.081","1.969","69.457","0.370","8.529","15.149","4.416"
"2021-09","1.721","284.322","0.144","3.123","64.977","0.510","9.477","11.589","4.592"
"2021-10","1.523","293.773","0.117","2.835","63.034","0.765","7.376","8.580","1.624"
"2021-11","1.268","318.576","0.148","4.148","45.380","0.666","6.284","7.381","1.069"
"2021-12","1.551","391.849","0.433","6.975","42.447","0.688","9.442","10.714","2.181"
"2022-01","1.782","394.405","0.245","6.893","49.660","0.889","11.158","12.784","2.716"
"2022-02","2.005","401.841","0.311","7.332","54.587","0.826","13.195","15.485","6.990"
"2022-03","2.195","329.568","0.205","4.597","79.955","1.188","13.254","14.938","11.236"
"2022-04","1.739","273.848","0.178","3.142","78.704","0.613","6.433","8.170","6.197"
"2022-05","1.933","222.813","0.154","2.650","70.400","0.496","9.862","15.913","3.882"
"2022-06","1.992","197.393","0.106","2.146","72.637","0.506","10.149","18.467","4.231"
"2022-07","1.874","183.599","0.074","1.595","76.776","0.350","7.875","12.284","4.486"
"2022-08","1.683","202.264","0.074","2.003","71.885","0.406","7.043","9.413","4.277"
"2022-09","1.332","214.634","0.117","2.840","58.078","0.394","5.177","7.144","3.557"
"2022-10","2.322","279.979","0.286","5.251","49.805","0.560","18.353","24.945","4.288"
"2022-11","1.561","327.797","0.253","6.400","46.194","0.769","9.786","11.372","2.912"
"2022-12","1.626","369.529","0.230","6.720","35.104","0.681","11.214","13.961","1.307"
"2023-01","1.793","360.069","0.295","6.504","44.477","0.988","10.374","11.874","2.292"
"2023-02","2.271","398.703","0.377","7.855","52.279","1.226","18.472","21.236","6.741"
"2023-03","1.996","302.206","0.208","4.454","65.728","0.740","10.122","12.515","7.399"
"2023-04","2.008","272.652","0.200","3.334","71.055","0.561","7.867","9.571","5.778"
"2023-05","1.872","221.290","0.110","2.207","64.537","0.467","6.737","7.610","2.624"
"2023-06","1.794","216.544","0.103","2.265","60.977","0.318","6.872","9.578","3.977"
"2023-07","2.000","217.919","0.081","1.827","50.497","0.589","11.084","23.420","4.125"
"2023-08","2.022","222.008","0.091","2.298","67.976","0.406","8.138","10.322","4.958"
"2023-09","2.006","246.880","0.141","2.927","67.920","0.709","9.499","12.442","4.813"
"2023-10","1.932","279.681","0.320","4.052","62.262","0.645","9.420","14.923","3.301"
"2023-11","1.469","300.433","0.154","4.847","50.372","0.424","4.489","6.425","1.789"
"2023-12","1.660","375.417","0.205","6.874","43.965","0.554","10.396","13.647","1.952"
"2024-01","1.769","367.670","0.175","6.136","50.183","0.678","10.856","12.862","2.184"
"2024-02","2.203","388.702","0.260","6.829","55.635","0.642","17.438","5.479","8.074"
"2024-03","1.950","332.811","0.218","5.241","61.740","0.735","9.203","14.136","9.673"
"2024-04","2.319","277.256","0.207","3.500","77.224","0.539","10.201","15.887","7.976"
"2024-05","1.769","221.912","0.114","2.287","63.804","0.324","5.574","7.042","3.122"
"2024-06","1.807","191.163","0.104","2.033","67.718","0.297","5.393","10.791","4.366"
