"month","aqi","co","no","no2","o3","so2","pm2_5","pm10","nh3"
"2021-01","1.270","243.615","0.053","2.149","62.203","1.731","4.999","6.735","0.556"
"2021-02","1.833","271.224","0.161","3.787","66.216","1.145","10.800","13.896","3.489"
"2021-03","1.795","258.498","0.113","2.958","77.546","1.042","8.392","9.273","5.082"
"2021-04","1.735","232.719","0.116","2.683","71.784","1.366","7.691","12.008","3.664"
"2021-05","1.883","190.619","0.061","1.320","79.028","1.719","7.965","14.398","1.355"
"2021-06","2.703","181.462","0.071","1.957","69.876","0.643","19.897","57.273","2.591"
"2021-07","2.214","180.019","0.047","1.371","74.504","0.820","11.859","31.498","2.059"
"2021-08","2.296","227.690","0.041","1.590","78.702","1.089","13.422","28.167","2.717"
"2021-09","1.689","263.063","0.069","2.510","70.847","0.429","8.349","12.965","2.860"
"2021-10","1.318","268.206","0.093","2.382","58.622","0.841","6.005","6.862","1.124"
"2021-11","1.292","256.983","0.081","2.671","49.452","1.585","6.668","7.878","0.647"
"2021-12","1.168","271.962","0.072","2.464","60.941","1.108","3.983","4.587","0.534"
"2022-01","1.215","282.756","0.085","2.645","63.873","0.761","4.911","5.565","0.899"
"2022-02","1.505","289.879","0.112","3.139","68.645","1.734","7.437","8.412","2.594"
"2022-03","1.755","286.551","0.151","3.138","79.052","1.461","8.601","9.752","7.018"
"2022-04","1.785","238.198","0.100","1.854","81.004","0.730","5.488","8.429","3.048"
"2022-05","1.987","204.951","0.084","2.138","71.163","0.602","10.568","18.497","2.045"
"2022-06","2.056","186.450","0.064","1.724","73.238","0.429","10.211","21.143","2.373"
"2022-07","1.940","175.969","0.048","1.487","74.303","0.362","9.911","15.975","2.589"
"2022-08","1.536","196.169","0.044","1.809","66.819","0.514","7.625","10.556","2.528"
"2022-09","1.486","186.286","0.056","1.858","69.252","1.757","6.584","9.003","2.172"
"2022-10","2.007","221.137","0.171","3.335","58.425","0.701","14.547","21.796","1.875"
"2022-11","1.257","226.824","0.103","3.340","55.716","1.398","5.115","7.016","1.061"
"2022-12","1.676","255.937","0.089","3.726","51.399","1.022","9.861","13.008","0.850"
"2023-01","1.569","267.861","0.112","3.500","56.689","0.991","5.031","5.492","1.074"
"2023-02","1.971","272.771","0.128","3.331","71.827","1.721","9.730","11.653","2.980"
"2023-03","2.056","248.538","0.098","2.619","77.003","0.974","7.778","9.055","4.080"
"2023-04","2.013","234.425","0.082","2.112","75.740","0.806","5.951","6.997","3.175"
"2023-05","1.672","206.308","0.069","1.878","59.841","0.654","6.820","7.468","1.485"
"2023-06","1.801","200.190","0.075","1.836","60.492","0.327","7.121","12.513","2.271"
"2023-07","2.071","205.915","0.052","1.403","56.845","0.602","11.729","26.429","2.129"
"2023-08","2.019","210.740","0.042","1.506","75.241","0.666","8.089","10.328","2.293"
"2023-09","1.990","224.795","0.065","2.117","70.611","1.871","10.205","16.608","2.671"
"2023-10","2.071","240.742","0.118","2.781","66.033","2.154","12.059","24.677","1.538"
"2023-11","1.749","223.468","0.054","1.652","66.860","0.392","2.050","3.529","0.480"
"2023-12","1.630","272.218","0.095","3.259","59.311","0.758","5.835","9.115","0.932"
"2024-01","1.768","271.384","0.102","2.599","63.640","0.745","5.627","7.404","0.839"
"2024-02","1.838","280.014","0.102","3.059","66.886","1.176","7.947","-4.821","2.460"
"2024-03","2.003","262.711","0.095","2.506","77.033","0.723","6.161","11.224","3.353"
"2024-04","2.307","235.816","0.110","2.267","84.638","0.804","8.556","14.091","3.979"
"2024-05","1.831","199.892","0.066","1.619","67.937","0.416","6.247","10.062","1.728"
"2024-06","2.019","179.750","0.057","1.491","72.335","0.458","7.131","16.858","2.309"
