"month","aqi","co","no","no2","o3","so2","pm2_5","pm10","nh3"
"2021-01","2.067","691.300","13.269","25.064","36.858","1.693","16.420","19.423","2.424"
"2021-02","3.238","1042.093","30.806","29.976","39.279","3.238","45.179","52.526","6.479"
"2021-03","2.856","717.236","12.373","25.517","53.147","1.971","27.809","30.934","7.381"
"2021-04","2.699","602.232","8.680","22.961","59.129","2.541","21.684","24.210","6.586"
"2021-05","2.109","337.851","2.212","11.455","70.614","1.787","14.622","21.510","2.295"
"2021-06","3.099","367.001","2.156","17.801","66.447","1.185","21.741","50.964","4.469"
"2021-07","2.134","232.060","0.622","6.773","75.553","0.875","11.612","21.791","2.563"
"2021-08","2.731","365.846","0.994","12.842","72.800","1.163","19.795","37.038","3.767"
"2021-09","2.551","584.367","6.202","24.749","55.713","1.565","17.455","22.180","5.656"
"2021-10","2.097","579.856","6.617","22.161","45.318","2.470","15.076","17.109","2.573"
"2021-11","2.221","759.790","19.528","22.365","28.835","2.474","18.531","20.621","2.111"
"2021-12","2.390","884.923","22.883","28.295","27.984","2.104","21.976","24.596","3.057"
"2022-01","2.751","1013.050","26.645","34.081","29.830","2.502","30.723","33.795","4.016"
"2022-02","2.463","792.185","17.014","25.958","46.690","2.191","22.903","26.224","5.981"
"2022-03","2.952","791.769","12.609","30.999","58.391","2.815","28.348","30.584","10.189"
"2022-04","2.551","576.722","6.836","21.852","68.060","1.508","17.988","21.103","5.673"
"2022-05","2.640","450.272","3.396","19.456","67.054","1.435","17.306","25.328","3.837"
"2022-06","2.467","311.552","1.394","12.604","72.853","1.479","15.533","24.645","3.340"
"2022-07","2.210","250.426","0.763","8.765","79.441","0.857","12.235","19.709","3.401"
"2022-08","2.226","325.569","1.301","12.675","73.388","1.158","13.064","17.212","3.732"
"2022-09","1.964","402.156","4.188","16.672","60.231","1.213","10.721","14.990","3.370"
"2022-10","3.529","825.818","19.744","29.297","39.508","2.196","37.488","48.495","4.206"
"2022-11","2.439","919.973","29.684","28.382","33.090","2.318","25.226","28.365","3.776"
"2022-12","2.570","833.844","22.669","25.075","27.660","2.563","28.400","35.693","2.718"
"2023-01","2.409","901.036","24.438","28.622","28.504","2.287","26.851","29.846","3.115"
"2023-02","2.917","1051.249","25.305","38.572","31.602","2.980","40.405","44.208","7.055"
"2023-03","2.413","653.190","11.471","21.563","52.535","1.880","20.001","24.006","7.172"
"2023-04","2.388","579.346","8.576","21.005","58.824","1.596","17.538","20.631","6.262"
"2023-05","2.138","509.849","6.046","20.545","49.558","1.262","14.671","16.391","3.664"
"2023-06","2.289","380.952","2.310","15.557","63.424","0.925","13.458","16.109","3.621"
"2023-07","2.453","285.057","0.704","9.141","58.944","1.230","15.894","35.698","3.399"
"2023-08","2.362","363.896","1.993","14.471","69.317","1.144","13.804","19.290","4.289"
"2023-09","2.351","487.251","4.633","20.135","57.047","1.301","17.106","22.276","4.263"
"2023-10","2.554","606.291","8.724","22.301","57.069","2.059","22.587","31.270","2.813"
"2023-11","1.833","567.710","8.007","21.776","43.490","1.390","9.419","13.229","2.262"
"2023-12","2.429","909.980","21.987","32.132","31.209","2.380","26.589","32.349","3.722"
"2024-01","2.514","920.879","21.265","32.275","31.152","2.385","27.449","31.580","3.655"
"2024-02","2.806","908.224","17.904","32.841","40.842","2.678","36.098","26.292","6.047"
"2024-03","2.490","658.291","10.078","21.991","58.304","2.619","19.468","25.072","6.559"
"2024-04","2.701","553.320","4.682","23.492","70.606","1.765","19.228","25.443","6.242"
"2024-05","2.208","386.640","1.874","15.820","63.492","1.202","12.934","16.594","2.935"
"2024-06","2.175","284.367","1.089","11.170","71.983","0.987","8.806","15.165","3.176"
