"month","aqi","co","no","no2","o3","so2","pm2_5","pm10","nh3"
"2021-01","3.586","1437.490","38.544","48.358","13.592","4.316","50.389","52.536","13.770"
"2021-02","4.052","1490.494","40.535","48.879","20.498","5.079","63.053","73.518","27.191"
"2021-03","3.996","1378.451","30.583","46.513","36.854","3.798","64.869","70.595","34.491"
"2021-04","3.221","791.806","11.226","29.416","53.415","2.450","29.854","33.060","19.498"
"2021-05","2.122","435.648","2.508","14.812","59.331","1.222","12.467","14.015","6.779"
"2021-06","1.956","313.880","1.194","9.643","70.799","0.942","10.043","12.520","6.849"
"2021-07","1.724","269.542","0.532","7.498","65.549","0.788","7.904","9.473","5.579"
"2021-08","2.356","439.320","1.879","14.277","64.705","1.160","14.187","17.207","8.710"
"2021-09","2.846","693.409","7.525","24.009","49.931","1.823","22.178","24.701","11.415"
"2021-10","3.707","1227.916","30.195","36.327","29.128","3.385","51.083","54.314","12.372"
"2021-11","3.549","1403.060","40.776","39.511","13.314","3.456","47.283","49.603","8.631"
"2021-12","4.434","2390.321","82.328","62.036","4.409","5.362","98.154","101.768","18.729"
"2022-01","4.681","2640.474","83.750","73.595","7.297","7.117","119.718","124.029","24.697"
"2022-02","4.255","1720.023","45.351","55.251","20.726","4.802","74.615","79.107","29.003"
"2022-03","4.058","1174.900","19.112","44.183","44.032","3.877","54.873","59.941","32.523"
"2022-04","3.176","816.746","10.713","29.480","54.736","2.368","29.977","33.403","19.230"
"2022-05","2.606","530.531","4.994","18.301","60.004","1.519","18.248","21.460","9.122"
"2022-06","2.093","343.781","1.224","11.080","68.598","1.026","11.833","14.905","6.683"
"2022-07","2.122","273.534","0.487","8.779","78.802","0.853","10.133","12.232","8.102"
"2022-08","2.286","411.111","2.061","17.202","68.405","1.238","13.325","15.155","9.974"
"2022-09","2.629","635.732","8.368","24.041","48.474","1.838","19.281","21.544","12.164"
"2022-10","3.780","1204.784","32.948","34.666","24.443","3.487","44.072","49.332","12.323"
"2022-11","3.907","1656.191","59.423","45.407","10.045","4.823","56.413","59.616","14.166"
"2022-12","3.789","1582.131","48.626","49.259","7.312","3.897","58.907","61.339","12.545"
"2023-01","3.544","1711.474","53.835","50.895","10.658","4.839","63.174","65.883","13.291"
"2023-02","3.982","2023.909","54.259","62.959","24.225","6.488","106.537","112.027","40.709"
"2023-03","3.498","1316.777","30.677","42.534","35.936","3.660","56.164","61.232","33.524"
"2023-04","2.801","827.727","11.949","29.862","49.640","2.229","28.231","31.353","19.719"
"2023-05","2.129","494.757","4.722","16.234","53.578","1.369","13.240","14.669","6.542"
"2023-06","2.333","416.945","2.102","14.132","64.008","1.216","13.701","16.491","8.268"
"2023-07","2.290","298.267","0.485","6.433","64.837","0.783","9.922","13.062","6.072"
"2023-08","2.445","392.459","2.037","13.413","70.366","1.085","14.242","17.213","9.142"
"2023-09","2.893","806.291","11.028","33.712","46.232","2.724","30.133","33.179","18.695"
"2023-10","2.882","1004.249","21.518","32.611","28.454","2.720","35.781","41.022","10.605"
"2023-11","2.943","1255.476","32.212","42.415","13.329","3.240","39.596","41.848","9.543"
"2023-12","3.538","1747.845","57.540","49.845","7.585","4.149","62.320","64.979","12.864"
"2024-01","3.975","2174.375","66.250","62.972","5.712","4.640","89.873","93.012","13.375"
"2024-02","3.556","1626.430","43.714","51.241","15.803","4.633","67.364","56.824","25.228"
"2024-03","2.918","1009.912","16.226","36.002","36.080","2.786","38.711","42.070","25.516"
"2024-04","2.793","776.150","7.973","29.762","53.395","2.057","26.469","29.824","18.035"
"2024-05","2.125","516.693","2.791","19.040","46.940","1.190","13.248","14.659","6.385"
"2024-06","1.997","370.450","1.375","13.241","55.371","0.930","10.241","12.015","6.293"
