"month","aqi","co","no","no2","o3","so2","pm2_5","pm10","nh3"
"2021-01","2.253","574.284","1.342","21.277","35.890","1.757","17.336","18.531","3.718"
"2021-02","2.829","493.368","0.723","15.610","46.372","1.113","23.264","28.500","4.957"
"2021-03","2.592","358.647","0.545","8.996","69.607","0.824","19.242","22.407","7.908"
"2021-04","1.936","278.355","0.318","5.670","74.194","0.579","9.446","11.665","4.032"
"2021-05","1.446","210.384","0.165","3.023","65.019","0.298","4.353","5.224","1.273"
"2021-06","1.664","183.110","0.190","3.717","63.034","0.295","7.062","11.270","2.603"
"2021-07","1.388","177.136","0.137","2.264","56.475","0.182","5.526","6.956","1.365"
"2021-08","1.386","233.960","0.303","3.421","57.048","0.247","6.035","7.519","1.966"
"2021-09","1.631","286.266","0.719","6.860","47.379","0.428","9.138","10.977","2.880"
"2021-10","1.651","335.566","0.393","8.858","50.968","0.498","9.330","10.642","1.815"
"2021-11","1.869","460.309","1.435","15.771","33.914","1.002","13.028","14.308","2.192"
"2021-12","2.199","572.752","1.446","20.563","34.483","1.343","16.266","17.590","2.622"
"2022-01","2.365","547.006","1.335","18.738","43.342","1.450","17.752","19.185","3.145"
"2022-02","2.384","470.185","0.729","13.945","52.983","1.008","17.354","19.624","5.036"
"2022-03","2.750","375.817","0.445","9.648","71.777","1.158","21.531","25.832","11.735"
"2022-04","2.111","304.371","0.387","6.318","73.728","0.600","12.280","14.482","4.943"
"2022-05","1.602","234.574","0.216","4.835","61.715","0.422","6.938","8.394","2.448"
"2022-06","1.560","192.924","0.234","3.187","62.413","0.275","6.885","10.134","2.075"
"2022-07","1.605","173.156","0.135","2.887","68.595","0.270","6.458","7.881","2.349"
"2022-08","1.500","186.770","0.231","3.807","60.893","0.264","5.719","7.035","2.512"
"2022-09","1.332","224.485","0.434","5.968","46.902","0.312","5.506","6.772","1.953"
"2022-10","1.936","322.926","1.012","11.505","37.354","0.662","12.918","17.281","2.479"
"2022-11","1.753","398.461","1.269","13.915","37.498","0.739","11.667","13.262","1.713"
"2022-12","1.940","498.469","0.542","17.041","35.281","0.999","14.514","15.651","1.723"
"2023-01","1.926","515.026","1.077","17.296","34.202","1.240","15.659","16.877","2.277"
"2023-02","2.465","471.152","0.861","14.717","55.969","1.361","24.094","27.036","7.634"
"2023-03","2.313","361.116","0.352","9.131","65.725","0.653","17.863","20.883","6.972"
"2023-04","1.938","290.463","0.340","6.451","68.486","0.519","9.229","11.082","4.031"
"2023-05","1.624","221.757","0.227","4.334","57.068","0.377","4.304","5.168","1.655"
"2023-06","1.836","205.459","0.192","3.199","63.194","0.234","5.959","8.770","1.906"
"2023-07","1.790","208.798","0.118","2.354","48.105","0.158","5.983","8.042","1.734"
"2023-08","1.841","207.977","0.244","3.591","58.599","0.232","7.963","9.615","2.285"
"2023-09","1.745","250.831","0.829","6.335","48.628","0.355","9.234","11.331","3.126"
"2023-10","1.813","312.667","0.521","8.815","43.434","0.476","11.943","17.982","1.828"
"2023-11","1.510","404.882","0.642","13.503","38.194","0.615","7.887","8.774","1.529"
"2023-12","2.023","603.147","1.650","22.220","26.494","1.174","18.230","19.817","2.705"
"2024-01","2.158","599.475","1.246","20.836","33.173","1.166","20.007","21.455","2.976"
"2024-02","2.036","492.324","0.763","15.727","41.298","0.777","17.294","5.025","4.456"
"2024-03","1.825","360.745","0.445","9.316","57.710","0.482","10.043","12.370","4.615"
"2024-04","2.190","292.123","0.321","5.831","75.842","0.328","9.795","12.299","3.702"
"2024-05","1.581","211.182","0.153","3.226","58.759","0.181","3.270","4.228","1.247"
"2024-06","1.557","187.493","0.135","2.589","56.430","0.126","4.108","5.895","1.378"
