"month","aqi","co","no","no2","o3","so2","pm2_5","pm10","nh3"
"2021-01","1.554","344.905","1.026","14.441","44.344","3.680","9.135","10.785","0.699"
"2021-02","2.482","404.438","5.231","21.146","45.426","5.402","18.463","23.325","2.634"
"2021-03","2.218","347.255","2.795","20.068","59.629","4.503","15.506","18.396","3.621"
"2021-04","1.803","288.987","1.470","15.659","68.787","3.763","9.331","11.311","2.136"
"2021-05","1.708","231.769","1.021","11.218","71.974","3.472","8.187","10.405","0.865"
"2021-06","2.586","225.591","1.293","16.660","83.363","4.985","17.216","31.948","1.604"
"2021-07","2.015","200.283","0.461","10.498","80.584","4.015","9.941","14.701","0.949"
"2021-08","1.853","265.040","0.537","12.044","75.643","3.939","9.183","12.221","1.318"
"2021-09","1.746","303.524","1.387","15.915","64.001","4.587","10.440","12.604","1.605"
"2021-10","1.596","304.624","0.896","11.613","60.855","3.272","8.436","10.183","0.696"
"2021-11","1.396","328.014","3.040","13.424","45.995","3.382","7.500","9.394","0.620"
"2021-12","1.606","413.796","4.519","19.121","38.547","4.572","10.059","12.545","0.982"
"2022-01","2.082","440.185","3.634","21.113","40.332","4.579","15.541","18.554","1.154"
"2022-02","2.272","432.047","3.562","21.620","44.375","4.853","17.541","20.680","2.109"
"2022-03","2.326","358.566","1.947","18.376","70.653","4.694","17.014","19.813","4.290"
"2022-04","2.010","317.139","1.627","16.550","73.364","3.935","11.010","13.226","2.050"
"2022-05","2.113","280.896","2.585","21.038","60.403","4.966","14.489","18.005","1.573"
"2022-06","2.244","227.438","1.119","15.380","86.720","4.751","12.925","17.815","1.524"
"2022-07","2.101","199.562","0.512","11.364","95.094","4.371","8.903","10.683","1.272"
"2022-08","1.804","213.733","0.598","12.069","79.081","4.142","8.357","10.015","1.285"
"2022-09","1.421","213.213","0.826","11.521","61.897","3.509","6.043","7.452","0.963"
"2022-10","2.348","299.083","5.318","21.496","41.051","4.893","17.646","23.572","1.232"
"2022-11","1.486","292.168","1.961","14.260","45.529","3.565","9.334","11.636","0.633"
"2022-12","1.632","373.825","1.852","15.849","33.859","4.026","11.161","12.790","0.586"
"2023-01","1.668","387.434","2.980","16.344","39.406","3.972","9.871","11.854","0.738"
"2023-02","2.622","421.234","3.342","20.725","51.438","5.134","27.365","30.567","2.705"
"2023-03","2.202","339.129","1.722","17.420","64.753","3.786","15.506","18.154","2.868"
"2023-04","2.026","315.367","2.288","19.133","62.013","4.378","10.512","12.629","2.270"
"2023-05","1.923","236.459","1.342","11.017","67.923","3.369","8.225","9.559","0.917"
"2023-06","2.381","254.435","1.371","17.154","85.940","5.179","14.177","17.323","1.483"
"2023-07","2.395","231.797","0.756","13.263","70.149","4.725","12.729","16.858","0.985"
"2023-08","2.140","236.995","0.730","11.904","76.600","4.153","11.070","12.725","1.051"
"2023-09","2.003","251.839","1.445","12.054","64.054","3.665","10.632","13.000","1.177"
"2023-10","2.102","297.609","2.198","14.682","57.862","3.802","12.899","18.057","0.868"
"2023-11","1.614","327.008","1.847","16.643","44.683","3.506","6.603","8.488","0.738"
"2023-12","1.793","442.298","5.315","22.701","30.835","4.771","13.993","17.243","1.090"
"2024-01","2.094","467.541","5.226","24.203","35.925","4.989","17.134","20.427","1.409"
"2024-02","2.272","462.716","6.684","27.839","35.342","6.054","21.679","11.309","2.659"
"2024-03","2.113","360.435","2.115","21.044","55.470","4.489","14.148","17.335","2.213"
"2024-04","2.249","297.617","1.386","16.205","76.020","4.388","11.568","14.915","2.162"
"2024-05","1.874","235.268","1.242","13.926","61.668","4.173","8.366","10.791","0.890"
"2024-06","2.215","215.614","0.945","14.947","80.332","5.119","9.401","12.578","1.131"
