"month","aqi","co","no","no2","o3","so2","pm2_5","pm10","nh3"
"2021-01","2.259","499.064","1.485","20.517","39.649","6.016","19.093","20.794","3.358"
"2021-02","3.436","604.456","6.606","26.968","36.501","10.001","40.211","44.430","7.676"
"2021-03","2.836","412.916","2.658","18.592","64.930","7.835","27.825","30.796","9.231"
"2021-04","2.276","291.430","1.263","11.023","85.501","6.080","16.538","18.192","4.122"
"2021-05","1.819","227.125","0.723","8.237","83.326","5.024","8.346","10.125","1.486"
"2021-06","2.587","209.233","0.570","10.010","104.827","6.479","15.096","26.127","2.387"
"2021-07","2.215","215.528","0.465","9.346","101.646","6.698","11.540","15.368","2.474"
"2021-08","2.204","278.537","0.400","8.506","101.758","5.817","10.958","13.299","2.837"
"2021-09","2.392","325.971","0.830","13.068","85.179","7.186","15.212","17.112","3.259"
"2021-10","2.157","351.363","1.108","11.989","68.022","6.174","13.961","15.932","1.873"
"2021-11","1.903","430.398","1.973","15.975","44.908","5.277","13.928","15.594","1.524"
"2021-12","2.722","668.590","3.808","27.659","28.289","6.959","26.408","28.542","2.404"
"2022-01","3.496","777.578","4.881","33.555","26.920","9.002","40.810","43.613","3.535"
"2022-02","3.480","649.188","5.467","30.772","30.906","9.535","37.003","40.314","6.902"
"2022-03","3.081","467.372","2.444","18.867","74.630","7.380","33.392","36.617","11.268"
"2022-04","2.169","313.059","1.225","11.755","87.386","5.710","12.289","14.057","3.640"
"2022-05","2.478","250.239","0.886","10.765","90.950","6.082","15.911","19.321","1.489"
"2022-06","2.329","212.770","0.650","9.817","101.367","6.267","13.730","18.454","1.827"
"2022-07","2.335","204.207","0.405","8.905","111.922","6.141","10.251","11.988","2.194"
"2022-08","2.190","219.007","0.421","8.628","106.116","6.002","9.721","11.211","2.485"
"2022-09","1.654","218.766","0.659","7.711","81.015","4.718","7.215","8.425","2.384"
"2022-10","2.995","394.455","1.580","19.748","60.467","8.733","35.302","39.279","2.223"
"2022-11","2.301","434.676","1.592","18.641","42.637","6.437","22.577","24.791","1.762"
"2022-12","2.292","568.430","5.225","23.250","26.527","7.844","22.247","23.993","1.752"
"2023-01","2.258","600.541","6.624","21.958","31.744","7.272","23.365","24.933","2.175"
"2023-02","3.593","695.473","5.552","29.430","40.262","9.621","57.449","60.864","8.494"
"2023-03","2.484","394.977","2.283","17.063","63.113","6.856","23.610","26.409","5.574"
"2023-04","2.399","306.003","1.128","11.965","83.112","5.893","14.434","16.197","3.392"
"2023-05","2.171","255.261","1.059","9.698","80.870","4.896","9.615","10.747","1.645"
"2023-06","2.731","235.530","0.637","10.254","107.561","7.033","12.866","15.216","1.757"
"2023-07","2.851","241.174","0.453","8.345","98.716","5.920","12.261","15.588","1.530"
"2023-08","2.763","261.632","0.484","10.900","103.811","6.743","16.316","18.170","3.257"
"2023-09","2.300","279.265","0.792","11.769","80.987","6.390","13.178","15.342","3.448"
"2023-10","2.260","344.139","1.203","14.837","64.745","6.959","19.223","23.811","1.642"
"2023-11","2.096","523.742","4.335","25.040","29.723","7.621","18.878","20.923","2.772"
"2023-12","3.062","987.356","16.846","37.884","12.523","10.057","41.886","44.435","2.765"
"2024-01","3.165","924.434","8.255","37.149","22.476","8.749","47.287","49.594","5.027"
"2024-02","3.223","903.980","10.564","39.621","28.708","11.720","61.678","49.682","7.533"
"2024-03","2.643","429.735","2.366","18.182","58.682","6.575","26.123","28.747","4.651"
"2024-04","2.714","337.675","1.816","13.630","81.524","6.031","19.916","22.704","4.613"
"2024-05","2.234","253.413","0.955","11.070","80.125","5.777","11.927","14.410","1.882"
"2024-06","2.549","216.142","0.686","9.765","96.463","5.957","11.620","13.859","1.851"
